,Order ID,Order Date,Ship Date,Customer Name,Country,City,State,Category,Product Name,Sales,Quantity,Profit
0,CA-2013-138688,2013-06-13,2013-06-17,Darrin Van Huff,United States,Los Angeles,California,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.87
1,CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,United States,Los Angeles,California,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.17
2,CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,United States,Los Angeles,California,Art,Newell 322,7.28,4,1.97
3,CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,United States,Los Angeles,California,Phones,Mitel 5320 IP Phone VoIP phone,907.15,4,90.72
4,CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,United States,Los Angeles,California,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.5,3,5.78
5,CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,United States,Los Angeles,California,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47
6,CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,United States,Los Angeles,California,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,85.31
7,CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,United States,Los Angeles,California,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,68.36
8,CA-2013-161389,2013-12-06,2013-12-11,Irene Maddox,United States,Seattle,Washington,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,132.59
9,CA-2011-167164,2011-05-13,2011-05-15,Alejandro Grove,United States,West Jordan,Utah,Storage,Fellowes Super Stor/Drawer,55.5,2,9.99
10,CA-2011-143336,2011-08-27,2011-09-01,Zuschuss Donatelli,United States,San Francisco,California,Art,Newell 341,8.56,2,2.48
11,CA-2011-143336,2011-08-27,2011-09-01,Zuschuss Donatelli,United States,San Francisco,California,Phones,Cisco SPA 501G IP Phone,213.48,3,16.01
12,CA-2011-143336,2011-08-27,2011-09-01,Zuschuss Donatelli,United States,San Francisco,California,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.38
13,CA-2012-106320,2012-09-25,2012-09-30,Emily Burns,United States,Orem,Utah,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.26
14,CA-2013-121755,2013-01-16,2013-01-20,Eric Hoffmann,United States,Los Angeles,California,Binders,Wilson Jones Active Use Binders,11.65,2,4.22
15,CA-2013-121755,2013-01-16,2013-01-20,Eric Hoffmann,United States,Los Angeles,California,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.77
16,CA-2013-101343,2013-07-18,2013-07-23,Ruben Ausman,United States,Los Angeles,California,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,3.89
17,CA-2012-135545,2012-11-24,2012-11-30,Kunst Miller,United States,Los Angeles,California,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.15
